word	ipa	rs	extra_consonants	ipa_derived_resp
functional	/ˈfʌŋkt͡ʃənəl/	FUHNGK-shuh-nuhl	sh	fuhngkchuhnuhl
fungicide	/ˈfʌŋɡɪsaɪd/	FUHN-juh-syd	n,ch	fuhnggisyd
fuselage	/ˈfjuːzəˌlɑːʒ/	FYOO-suh-lahj	ch	FYOOZUH-lahzh
fustian	/ˈfʌs.t͡ʃən/	FUH-stee-uhn	t	FUHS-chuhn
gangbanger	/ˈɡæŋˌbæŋəː/	GANG-bang-gur	g	GANG-banguh
Garcia	/ɡɑːˈsiː.ə/	gahr-SEE-uh	r	gah-SEE-uh
gaylord	/ˈɡeɪˌlɔːd/	GAY-lawrd	r	GAY-lawd
Gagnon	/ˈɡænjɔ̃/	GAN-yuhn	n	ganyaw
genuine	/ˈd͡ʒɛn.juˌɪn/	JEHN-yuh-wuhn	w	JEHN-yoo-in
gently	[ˈd͡ʒɛ̃ɾ̃li]	JEHNT-lee	n	jehtlee
genuinely	/ˈd͡ʒɛn.ju.ɪn.li/	JEHN-yuh-wuhn-lee	w	JEHN-yoo-in-lee
gean	/ɡiːn/	jeen	ch	geen
gear	/ɡɪɚ/	gir	r	giur
gearbox	/ˈɡɪɚbɒks/	GIR-bahks	r	giurbahks
gemfibrozil	/d͡ʒɛmˈfaɪ.bɹəˌzɪl/	GEHM-fi-broh-zuhl	g	jehm-FY-bruh-zil
genre	/ˈ(d)ʒɑnɹə/	ZHAHN-ruh	sh	jahnruh
gentian	/ˈd͡ʒɛnt͡ʃən/	JEHN-shuhn	sh	jehnchuhn
gentleman	[ˈd͡ʒɛɾ̃.ɫ̩.mən]	JEHN-tuhl-muhn	n	JEHT-uhl-muhn
genuineness	/ˈd͡ʒɛ.nju.ɪn.(n)əs/	JEHN-yuh-wuh-nis	w	JEH-nyoo-in-nuhs
gesundheit	/ɡəˈzʊnt.haɪt/	guh-ZUUND-hyt	d,h	guh-ZUUNT-hyt
geis	/ɡɛʃ/	gyz	s	gehsh
geo	/ɡjəʊ/	JEE-oh	ch	gyoh
Gervais	/dʒəˈveɪz/	zhur-VAY	sh	juh-VAYZ
geck	/ɡɛk/	jehk	ch	gehk
Gentner	/ˈɡɛntnə(ɹ)/	JEHNT-nur	ch	gehntnuhr
ghana	/ˈɑːnə/	GA-nuh	g	ahnuh
gibberish	/ˈd͡ʒɪ.bə.ɹɪʃ/	GI-bur-ish	g	JI-buh-rish
ging	/ˈɡɪŋ/	jing	ch	ging
gick	/ɡɪk/	jik	ch	gik
Giudice	/ˈdʒuːdɪtʃeɪ/	JOO-di-see	s	joodichay
glacial	/ˈɡleɪ.sɪəl/	GLAY-shuhl	sh	GLAY-see-uhl
glaciation	/ˌɡleɪsiˈeɪʃən/	glay-shee-AY-shuhn	sh	glaysee-AYSHUHN
glare	/ɡlɛɚ/	glehr	r	glehur
glazier	/ˈɡleɪʒəɹ/	GLAY-zee-ur	s	glayzhuhr
glockenspiel	/ˈɡlɑk.ənˌʃpil/	GLAH-kuhn-speel	s	GLAHK-uhn-shpeel
gourd	/ɡʊɚd/	gawrd	r	guuurd
graduate	/ˈɡɹæd͡ʒuɪt/	GRA-juh-wuht	w	grajooit
gregarious	/ɡɹɪˈɡɛɚ.i.əs/	gruh-GEH-ree-uhs	r	gri-GEHUR-ee-uhs
grandeur	/ˈɡɹæn.d͡ʒɚ/	gran-DOOR	r,d	GRAN-jur
grandma	/ˈɡɹænmɑː/	GRAND-mah	d	granmah
grandpa	/ˈɡɹæm.pɑː/	GRAND-pah	n,d	GRAM-pah
grosz	/ɡɹɔʃ/	grohs	s	grawsh
gracias	/ˈɡɹɑ.θi.əs/	GRAH-see-uhz	s	GRAH-thee-uhs
guyot	/ɡiˈoʊ/	GY-uht	t	gee-OH
haywire	/ˈheɪ.waɪɚ/	HAY-wyr	r	HAY-wyur
habitually	/həˈbɪtju.əli/	huh-BI-choo-uh-lee	ch	huh-BITYOO-uhlee
haphazardly	/hæpˈhæzɚdli/	HA-fuh-zurd-lee	f	hap-HAZURDLEE
harshly	/ˈhɑːʃli/	HAHRSH-lee	r	hahshlee
hair	/ˈhɛɚ/	hehr	r	hehur
hairdo	/ˈhɛəˌduː/	HEHR-doo	r	HEHUH-doo
hare	/hɛɚ/	hehr	r	hehur
harquebus	/ˈhɑɹkɪbʌs/	HAHR-kwuh-buhs	w	hahrkibuhs
haute	/oʊt/	hoht	h	oht
har	/hɑː/	hahr	r	hah
harmonia	/hɑːˈməʊ̯.niː.ə/	hahr-MOH-nee-uh	r	hah-MOH-nee-uh
Harmonia	/hɑːˈməʊ̯.niː.ə/	hahr-MOH-nee-uh	r	hah-MOH-nee-uh
hemorrhagic	/ˌhɛməˈrædʒɪk/	heh-mur-A-gik	g	hehmuh-RAJIK
here	/ˈhɪɚ̯/	heer	r	hiur
heterosexual	/ˌhɛtəɹəˈsɛkʃuəl/	heh-tur-oh-SEHK-shuh-wuhl	w	hehtuhruh-SEHKSHOOUHL
healthcare	/ˈhɛlθkɛɚ/	HEHLTH-kehr	r	hehlthkehur
heartache	/ˈhɑːteɪk/	HAHR-tayk	r	hahtayk
heir	/ˈɛə̯/	ehr	r	ehuh
heirloom	/ˈɛɚ.lum/	EHR-loom	r	EHUR-loom
herder	/ˈhɝːdɚ/	HEHR-dur	r	hurdur
hertz	/hɝts/	hehrts	r	hurts
hear	/ˈhɪɚ/	heer	r	hiur
hieroglyph	/ˈhaɪɚ.əˌɡlɪf/	hy-roh-GLIF	r	HYUR-uh-glif
hoarse	/hɔːs/	hawrs	r	haws
homosexual	/ˌhɒməʊˈsɛksjuːəl/	hoh-moh-SEHK-shuh-wuhl	sh,w	hahmoh-SEHKSYOOUHL
hourly	/ˈaʊ̯ɚli/	OWR-lee	r	owurlee
hoarding	/ˈhɔːdɪŋ/	HAWR-ding	r	hawding
hoarseness	/hɔːsnəs/	HAWR-snuhs	r	hawsnuhs
homage	/(h)oʊˈmɑʒ/	AH-muhj	ch	hoh-MAHZH
hombre	/ˈɑmbɹeɪ/	HAHM-bruh	h	ahmbray
horst	/hɔːst/	hawrst	r	hawst
hotelier	/ˌoʊ.tɛlˈjeɪ/	hoh-TEHL-yur	h	oh-tehl-YAY
hola	/ˈoʊlɑː/	HOH-luh	h	ohlah
Hornung	/ˈhɔːnʊŋ/	HAWR-nuhng	r	hawnuung
Hormuz	/hɔːˈmuːz/	HAWR-mooz	r	haw-MOOZ
Ibiza	/ɪˈbiːθə/	ee-BEE-zuh	s	i-BEETHUH
idiosyncratic	/ˌɪd.i.oʊ.sɪŋˈkɹæt.ɪk/	i-dee-oh-sin-KRA-tik	n	id-ee-oh-sing-KRAT-ik
idiocy	[ˈɪɾiəsi]	I-dee-uh-see	d	iteeuhsee
idiosyncrasy	/ˌɪdiəˈsɪŋkɹəsi/	i-dee-oh-SIN-kruh-see	n	ideeuh-SINGKRUHSEE
impetuous	/imˈpɛt͡ʃuəs/	im-PEHCH-wuhs	w	eem-PEHCHOOUHS
impurity	/ɪmˈpjɝɪti/	im-PYUU-ruh-tee	r	im-PYURITEE
incestuous	/ɪnˈsɛst͡ʃuəs/	in-SEHSCH-wuhs	w	in-SEHSCHOOUHS
incidental	[ɪnsɪˈdɛ.ɾ̃əl]	in-si-DEHN-tuhl	n	insi-DEH-tuhl
incomparable	/ɪŋˈkɑmp(ə)ɹəbəl/	in-KAHM-pur-uh-buhl	n	ing-KAHMPUHRUHBUHL
incompatible	/ˌɪŋkəmˈpætɪbəl/	in-kuhm-PA-tuh-buhl	n	ingkuhm-PATIBUHL
incomprehensible	/ɪnˌkɑmpɹəˈhɛnsɪb(ə)l/	ing-kahm-pruh-HEHN-si-buhl	ng	in-kahmpruh-HEHNSIBUHL
incongruous	/ɪnˈkɑn.ɡɹu.əs/	ing-KAWNG-roo-uhs	ng	in-KAHN-groo-uhs
inconsequential	/ɪnˌkɑnsəˈkwɛnʃəl/	ing-kahn-suh-KWEHN-chuhl	ng,ch	in-kahnsuh-KWEHNSHUHL
inconspicuous	/ˌɪn.kənˈspɪk.ju.əs/	ing-KAHN-spi-kwuhs	ng,w	in-kuhn-SPIK-yoo-uhs
incontinent	/ɪŋˈkɒntɪnənt/	in-KAHN-tuh-nuhnt	n	ing-KAHNTINUHNT
incorporate	/ɪŋˈkɔɹ.pɚ.eɪt/	in-KAWR-pur-ayt	n	ing-KAWR-pur-ayt
incorporated	/ɪŋˈkɔɹpəɹeɪtɪd/	in-KAWR-pur-ay-tid	n	ing-KAWRPUHRAYTID
incredible	/ɪŋˈkɹɛdəbəl/	in-KREH-duh-buhl	n	ing-KREHDUHBUHL
individual	/ˌɪndɪˈvɪd͡ʒ(u)əl/	in-duh-VI-juh-wuhl	w	indi-VIJOOUHL
inexplicable	/ˌɪn.ɪkˈsplɪ.kə.bl̩/	i-nuhk-SPLI-suh-buhl	s	in-ik-SPLI-kuh-buhl
inquisitive	/ɪŋˈkwɪzətɪv/	in-KWI-zi-tiv	n	ing-KWIZUHTIV
insured	/ɪnˈʃʊɚd/	in-SHUURD	r	in-SHUUURD
incredibly	/ɪŋˈkɹɛdɪbli/	in-KREH-duh-blee	n	ing-KREHDIBLEE
intentionally	/ɪnˈtɛn(t)ʃənəli/	in-TEHN-shuh-nuh-lee	sh	in-TEHNCHUHNUHLEE
incarceration	/ɪŋˌkɑː(ɹ)səˈɹeɪʃən/	in-kahr-sur-AY-shuhn	n	ing-kahrsuh-RAYSHUHN
incarnation	/ˌɪŋ.kɑɹˈneɪ.ʃən/	in-KAHR-NAY-shuhn	n	ing-kahr-NAY-shuhn
incongruity	/ɪnkɑŋˈɡɹuɪti/	ing-kawng-ROO-i-tee	ng	inkahng-GROOITEE
incorporation	/ɪŋˌkɔɹpəˈɹeɪʃən/	in-kawr-pur-AY-shuhn	n	ing-kawrpuh-RAYSHUHN
increment	/ˈɪŋkrəmɛnt/	IN-kruh-muhnt	n	ingkruhmehnt
incubation	/ɪnkjuˈbeɪʃən/	ing-kyoo-BAY-shuhn	ng	inkyoo-BAYSHUHN
incubator	[ˈɪn.kjuːˌbeɪ.ɾɚ]	ING-kyuh-bay-tur	ng	IN-kyoo-bay-tur
incumbency	/ɪŋˈkʌmbənsi/	in-KUHM-buhn-see	n	ing-KUHMBUHNSEE
incursion	/ɪŋˈkɜː(ɹ)ʒən/	in-KUR-zhuhn	n	ing-KURRZHUHN
indenture	/ɪnˈdɛn.ʃɝ/	in-DEHN-chur	ch	in-DEHN-shur
ingenue	/ˈɑnʒənu/	IN-jehn-yoo	ch	ahnzhuhnoo
inquest	/ˈɪŋkwɛst/	IN-kwehst	n	ingkwehst
inquisition	/ˌɪŋkwɪˈzɪʃən/	in-kwuh-ZI-shuhn	n	ingkwi-ZISHUHN
intention	/ɪnˈtɛnʃn̩/	in-TEHN-chuhn	ch	in-TEHNSHUHN
incubate	/ˈɪŋkjʊbeɪt/	IN-kyuh-bayt	n	ingkyuubayt
inculcate	/ˈɪn.kʌl.keɪt/	ING-kuhl-kayt	ng	IN-kuhl-kayt
infatuate	/ɪnˈfætjuˌ(w)eɪt/	in-FA-choo-ayt	ch	in-FATYOO-wayt
ingratiate	/ɪnˈɡɹeɪ.ʃi.eɪt/	ing-GRAY-shee-ayt	g	in-GRAY-shee-ayt
insure	/ɪnˈʃʊɚ/	in-SHUUR	r	in-SHUUUR
interfere	/ˌɪn.tɚˈfɪɚ/	in-tur-FIR	r	in-tur-FIUR
intentions	/ɪnˈtɛnʃənz/	in-TEHN-chuhnz	ch	in-TEHNSHUHNZ
incant	/ɪŋˈkænt/	in-KANT	n	ing-KANT
ire	/aɪ.ɚ/	yr	r	y-ur
jaeger	/ˈjeɪɡəɹ/	JEH-gur	ch	yayguhr
jass	/jas/	jas	ch	yas
Jann	/jæn/	jan	ch	yan
junker	/ˈjʊŋkə(ɹ)/	JUHNG-kur	ch	yuungkuhr
jus	/ʒuː(s)/	joo	ch	zhoos
karst	/kɑːst/	kahrst	r	kahst
Kaczynski	/kəˈzɪn.ski/	kuh-CHIN-skee	ch	kuh-ZIN-skee
Keir	/kɪə/	keer	r	kee-uh
kiddy	[ˈkʰɪɾi]	KI-dee	d	kitee
Kwiatkowski	/kwaɪətˈkaʊski/	kwee-uht-KAWF-skee	f	kwyuht-KOWSKEE
lagniappe	/lænˈjæp/	LANG-ahp	ng	lan-YAP
lair	/ˈlɛɚ/	lehr	r	lehur
largeness	/ˈlɑːd͡ʒnəs/	LAHRJ-nis	r	lahjnuhs
largesse	/lɑɹˈ(d)ʒɛs/	lahr-GEHS	g	lahr-JEHS
laugher	/ˈlæfɚ/	LAH-kur	k	lafur
lar	/lɑː/	lahr	r	lah
leery	/ˈlɪɚi/	LI-ree	r	liuree
leisurely	/ˈliʒɚli/	LEE-zur-lee	s	leezhurlee
lech	/lɛt͡ʃ/	lehk	k	lehch
licentious	/laɪˈsɛn.ʃəs/	ly-SEHN-chuhs	ch	ly-SEHN-shuhs
livor	/ˈlaɪvɔː/	li-VAWR	r	lyvaw
loth	/ləʊt/	lahth	th	loht
loge	/loʊʒ/	lohj	ch	lohzh
loggia	/ˈlɒd͡ʒə/	LAH-gee-uh	g	lahjuh
lour	/ˈlaʊɚ/	lowr	r	lowur
Logiudice	/lɒˈdʒuːdɪtʃeɪ/	loh-JOO-duhs	s	lah-JOODICHAY
luge	/luʒ/	looj	ch	loozh
luger	/ˈluːʒ.ə(ɹ)/	LOO-gur	g	LOOZH-uhr
lunger	/ˈlʌnd͡ʒə/	LUHNG-ur	ng	luhnjuh
Ludwig	/ˈludvɪɡ/	LUH-dwig	w	loodvig
Lucia	/luˈsiːə/	LOO-shuh	sh	loo-SEEUH
Lucius	/ˈluːsɪəs/	LOO-shuhs	sh	loosee-uhs
Lufthansa	/lʊftˈhɑːnsə/	luhf-TAN-zuh	t	luuft-HAHNSUH
lyre	/ˈlaɪ.ɚ/	lyr	r	LY-ur
macabre	/məˈkɑb/	muh-KAH-bruh	r	muh-KAHB
marred	/mɑːd/	mahrd	r	mahd
maharaja	/ˌmɑ.hɑˈɹɑː.d͡ʒə/	mah-hur-AH-zhuh	sh	mah-hah-RAH-juh
mantilla	/mænˈti(j)ə/	man-TI-luh	l	man-TEEYUH
maraschino	/ˌmæɹ.əˈʃi.noʊ/	ma-ruh-SKEE-noh	s,k	mar-uh-SHEE-noh
mare	/mɛɚ/	mehr	r	mehur
mary	/ˈmɛɚ.i/	MEH-ree	r	MEHUR-ee
massage	/məˈsɑ(d)ʒ/	muh-SAHZH	sh	muh-SAHJ
maturity	/məˈtʊɹəti/	muh-CHUU-ruh-tee	ch	muh-TUURUHTEE
mayhem	/ˈmeɪəm/	MAY-hehm	h	mayuhm
Margot	/ˈmɑː.ɡəʊ/	MAHR-goh	r	MAH-goh
macher	/ˈmɑxəɹ/	MA-kur	k	mahkhuhr
marga	/ˈmɑːɡə/	MAHR-guh	r	mahguh
Maggi	/ˈmæɡi/	MA-jee	ch	magee
melodic	/məˈlɑ.ɾɪk/	muh-LAH-dik	d	muh-LAH-tik
mere	/mɪɚ/	mir	r	miur
medal	[ˈmɛɾ.ɫ̩]	MEH-duhl	d	MEHT-uhl
melange	/məˈlɑnʒ/	MEH-lang	ng	muh-LAHNZH
mensch	/mɛnt͡ʃ/	mehnsh	sh	mehnch
metis	/meɪˈtiː/	MEH-tis	s	may-TEE
microeconomics	/ˌmaɪkɹəʊˌɛkəˈnɒnɪks/	my-kroh-eh-kuh-NAH-miks	m	mykroh-ehkuh-NAHNIKS
microfiche	/ˈmaɪ.kɹoʊˌfiːʃ/	MY-kroh-feech	ch	MY-kroh-feesh
mire	/ˈmaɪɚ/	myr	r	myur
Mir	/mɪə/	mir	r	mee-uh
mignon	/ˈmɪnjɒn/	MIG-nuhn	g	minyahn
molar	/ˈmoʊlɚ/	MOH-luhr	r	mohlur
mortally	/ˈmɔːtəli/	MAWR-tuh-lee	r	mawtuhlee
monarch	/ˈmɑnɚk/	MAH-nahrk	r	mahnurk
monarchy	/ˈmɑnɚki/	MAH-nahr-kee	r	mahnurkee
moor	/mʊə/	muur	r	moo-uh
moped	/ˈmoʊ.pɛd/	mohpt	t	MOH-pehd
morse	/mɔːs/	mawrs	r	maws
mort	/mɔːt/	mawrt	r	mawt
mont	/mɒn/	mahnt	t	mahn
Mordor	/ˈmɔːdɔː(ɹ)/	MAWR-dawr	r	mawdawr
mutuality	/ˌmjuːtjuˈælɪti/	myoo-choo-A-li-tee	ch	myootyoo-ALITEE
Mulhouse	/məˈluːz/	MUHL-hows	h	muh-LOOZ
nary	/ˈnɛɚ.i/	NEH-ree	r	NEHUR-ee
navel	/ˈneɪbəl/	NAY-vuhl	f	naybuhl
narco	/ˈnɑːkəʊ/	NAHR-koh	r	nahkoh
Nawrocki	/nəˈɹɑ.ki/	nahv-ROHT-skee	f,t,s	nuh-RAH-kee
neurological	/nɝəˈlɑd͡ʒɪkəl/	nuu-ruh-LAH-ji-kuhl	r	nuruh-LAHJIKUHL
neckwear	/ˈnɛk.wɛɚ/	NEH-kwehr	r	NEHK-wehur
ninety	/ˈnaɪn.di/	NYN-tee	t	NYN-dee
nightmare	/ˈnaɪt.mɛɚ/	NYT-mehr	r	NYT-mehur
nightshade	/ˈnaɪt.ʃeɪd/	NY-chayd	ch	NYT-shayd
northeast	/noːˈθɪjst/	nawr-THEEST	r	noh-THIYST
northwestern	/nɔːθˈwɛstn̩/	nawrth-WEH-sturn	r	nawth-WEHSTUHN
nomenklatura	/nɒˌmɛnkləˈtjʊəɹə/	noh-mehng-kluh-CHUU-ruh	ng,ch	nah-mehnkluh-TYOO-UHRUH
nonconformity	/nɑnkənˈfɔɹmɪdi/	nahn-kuhn-FAWR-muh-tee	t	nahnkuhn-FAWRMIDEE
nor	/nɔː/	nawr	r	naw
nork	/nɔːk/	nawrk	r	nawk
normie	/ˈnɔː.mi/	NAWR-mee	r	NAW-mee
Norwood	/nɔːwʊd/	NAWR-wuud	r	nawwuud
Norland	/ˈnɔː.lənd/	NAWR-luhnd	r	NAW-luhnd
nuptial	/ˈnʌp.ʃəl/	NUHP-chuhl	ch	NUHP-shuhl
nuncio	/ˈnʌnʃiˌoʊ/	NUHN-see-oh	s	NUHNSHEE-oh
nuptials	/ˈnʌp.ʃəlz/	NUHP-chuhlz	ch	NUHP-shuhlz
OG	/oʊˈd͡ʒiː/	ahg	g	oh-JEE
opportune	/ˌɑ.pɚˈt͡ʃuːn/	ah-pur-TOON	t	ah-pur-CHOON
ophthalmologist	/ˌɔf.θə(l)ˈmɑ.lə.d͡ʒɪst/	ahp-thuh-MAH-luh-jist	p	awf-thuhl-MAH-luh-jist
orderliness	/ˈɔːdəlɪnəs/	AWR-dur-lee-nuhs	r	awduhlinuhs
ort	/ɔːt/	awrt	r	awt
organum	/ˈɔː.ɡə.nəm/	AWR-guh-nuhm	r	AW-guh-nuhm
Orgeron	/ˈoʊɹʒərɒn/	AWR-gur-uhn	g	ohrzhuhrahn
Ossetia	/əˈsɛt.i.ə/	ah-SEHSH-yuh	sh	uh-SEHT-ee-uh
otiose	/ˈoʊ.ʃi.oʊs/	OH-tee-ohs	t	OH-shee-ohs
outdoor	/aʊtˈdɔː/	OWT-dawr	r	owt-DAW
outshine	/aʊtˈʃaɪn/	OW-chyn	ch	owt-SHYN
overhear	/oʊ.vɚˈhɪɚ/	OH-vur-HEER	r	oh-vur-HIUR
painted	/ˈpeɪ.nɪd/	PAYN-tid	t	PAY-nid
pancreatic	/ˌpæŋ.kɹɪˈæ.tɪk/	pan-kree-A-tik	n	pang-kri-A-tik
paraplegic	/ˌpɛɹəˈplid͡ʒɪk/	peh-ruh-PLEH-gik	g	pehruh-PLEEJIK
particularly	/pɚˈtɪkjəlɚli/	pahr-TI-kyuh-lur-lee	r	pur-TIKYUHLURLEE
paddle	[ˈpʰæ.ɾɫ̩]	PA-duhl	d	PA-tuhl
painting	/ˈpeɪ.nɪŋ/	PAYN-ting	t	PAY-ning
pancreas	/ˈpæŋ.kɹi.əs/	PAN-kree-uhs	n	PANG-kree-uhs
parmesan	/ˈpɑːmɪˌzæn/	PAHR-muh-zahn	r	PAHMI-zan
parts	/pɑːts/	pahrts	r	pahts
pas	/pɑː/	pahz	s	pah
Padilla	/pəˈdiːə/	puh-DI-luh	l	puh-DEEUH
Pacino	/pəˈt͡ʃinoʊ/	puh-SEE-noh	s	puh-CHEENOH
Pars	/pɑːs/	pahrz	r	pahs
penitentiary	/ˌpɛnɪˈtɛnʃəɹi/	peh-ni-TEHN-chur-ee	ch	pehni-TEHNSHUHREE
perceptual	/pə(ɹ)ˈsɛp.tʃ(u)əl/	pur-SEHP-chuh-wuhl	w	puhr-SEHP-choouhl
pedophile	[ˈpʰɛ.ɾəˌfaɪ̯ɫ]	PEH-doh-fyl	d	PEH-tuh-fyl
percy	/ˈpɝki/	PUR-see	s	purkee
perfusion	/pəɹˈfjuʒən/	pur-FYOO-zuhn	s	puhr-FYOOZHUHN
period	/ˈpɪɚ.i.əd/	PI-ree-uhd	r	PIUR-ee-uhd
perpetuation	/pə(ɹ)ˌpɛtjuˈeɪʃən/	pur-peh-chuh-WAY-shuhn	ch,w	puhr-pehtyoo-AYSHUHN
petulance	/ˈpɛtjʊləns/	PEH-chuh-luhns	ch	pehtyuuluhns
Pernice	/pɚˈnitʃeɪ/	PUR-nis	s	pur-NEECHAY
philharmonic	/ˌfɪlərˈmɑnɪk/	fil-hahr-MAH-nik	h	filuhr-MAHNIK
phenolphthalein	/ˌfi.nl̩ˈθæl.i.ɪn/	fee-nahlf-THAY-luhn	f	fee-nuhl-THAL-ee-in
phenomenology	/fɪˌnɑməˈnɑləd͡ʒi/	fuh-NAH-muh-nah-lah-gee	g	fi-nahmuh-NAHLUHJEE
phosphor	/ˈfɑsfɚ/	FAH-sfawr	r	fahsfur
pinot	/ˈpiːnoʊ/	PI-nuht	t	peenoh
piranha	/pɪˈɹɑn(j)ə/	pi-RAN-huh	h	pi-RAHNYUH
ploughshare	/ˈplaʊˌʃɛɚ/	PLOW-shayr	r	PLOW-shehur
pointed	/ˈpɔɪnɪd/	POYN-tid	t	poynid
poor	/pʊɚ/	poor	r	puuur
potty	/ˈpɑdi/	PAH-tee	t	pahdee
porgy	/ˈpɔːɡi/	PAWR-gee	r	pawgee
porno	/ˈpɔːnəʊ/	PAWR-noh	r	pawnoh
Poisson	/ˈpwɑː.sɒn/	POYZ-suhn	s	PWAH-sahn
Port-au-Prince	/ˌpɔːtəʊˈpɹɪns/	pawr-toh-PRINS	r	pawtoh-PRINS
Porsche	/ˈpɔːʃ/	PAWR-shuh	r	pawsh
prayerful	/ˈpɹɛːfʊl/	PREHR-fuhl	r	prehfuul
premature	/ˌpɹi.məˈtʊɹ/	pree-muh-CHUUR	ch	pree-muh-TUUR
premiere	/pɹəˈmɪɚ/	preh-MIR	r	pruh-MIUR
prescient	/ˈpɹɛʃ(i)ənt/	PREH-see-uhnt	s	prehsheeuhnt
presumptuous	/pɹəˈzʌmpt͡ʃuəs/	pri-ZUHMP-chuh-wuhs	w	pruh-ZUHMPCHOOUHS
promiscuous	/pɹəˈmɪs.kju.əs/	PROH-mi-skwuhs	w	pruh-MIS-kyoo-uhs
provincial	/pɹəˈvɪn(t)ʃəl/	pruh-VIN-shuhl	sh	pruh-VINCHUHL
prematurely	/ˌpɹiːməˈtjʊə(ɹ)li/	pree-muh-CHUUR-lee	ch	preemuh-TYOO-UHRLEE
prayer	/ˈpɹeɪ.ɚ/	prehr	r	PRAY-ur
prestige	/pɹɛsˈtiːd͡ʒ/	preh-STEEZH	sh	prehs-TEEJ
printing	/ˈpɹɪnɪŋ/	PRIN-ting	t	prining
produce	/pɹəˈd͡ʒuːs/	pruh-DOOS	d	pruh-JOOS
proletariat	/ˌpɹoʊ.lɪˈtɛɚ.i.ət/	proh-luh-TEH-ree-uht	r	proh-li-TEHUR-ee-uht
prostitution	/ˌprɒstɪˈt͡ʃuːʃn/	prah-stuh-TOO-shuhn	t	prahsti-CHOOSHN
psychosomatic	/ˌsaɪkoʊsəˈmædɪk/	sy-koh-suh-MA-tik	t	sykohsuh-MADIK
psalm	/sɑm/	sahlm	l	sahm
psalms	/sɑmz/	sahlmz	l	sahmz
psychopathology	/ˌsaɪ̯kɒpəˈθɒlədʒɪ/	sy-kuh-pa-THAW-luh-gee	g	sykahpuh-THAHLUHJI
puritanical	/pjɚ.ɪˈtæn.ɪ.kl̩/	pyuu-ruh-TA-ni-kuhl	r	pyur-i-TAN-i-kuhl
punctuate	[ˈpʰʌŋkʃɪu̯ːeɪt]	PUHNGK-choo-ayt	ch	puhngkshiooayt
qi	/t͡ʃiː/	kee	k	chee
qin	/t͡ʃin/	kin	k	cheen
qing	/t͡ʃɪŋ/	king	k	ching
questioning	/ˈkwɛʃ.tə.nɪŋ/	KWEHS-chuh-ning	s,ch	KWEHSH-tuh-ning
quarterback	/ˈkwɔːtəbak/	KWAWR-tur-bak	r	kwawtuhbak
rare	/ɹɛɚ/	rehr	r	rehur
raconteur	/ˌɹæk.ɑnˈtɝ/	ra-kahn-TOOR	r	rak-ahn-TUR
raj	/ɹɑːd͡ʒ/	rahzh	sh	rahj
rager	/ˈɹeɪd͡ʒɚ/	RAY-gur	g	rayjur
Radice	/ɹəˈdiːtʃeɪ/	RA-dis	s	ruh-DEECHAY
reactionary	/ɹiˈæk.ʃəˌnɛɚ.i/	ree-AK-shuh-neh-ree	r	ree-AK-shuh-nehur-ee
rear	/ˈɹɪɚ/	rir	r	riur
reportedly	/ɹɪˈpɔːtɪdli/	ri-PAWR-tuhd-lee	r	ri-PAWTIDLEE
record	/ˈɹɛk.ɚd/	ruh-KAWRD	r	REHK-urd
rehabilitation	/ˌɹiː.əˌbɪl.ɪˈteɪ.ʃən/	ree-huh-bi-luh-TAY-shuhn	h	ree-uh-bil-i-TAY-shuhn
reincarnation	/ˌɹiːɪŋkɑː(ɹ)ˈneɪʃən/	ree-in-kahr-NAY-shuhn	n	reeingkahr-NAYSHUHN
resort	/ɹɪˈzɔːt/	ri-ZAWRT	r	ri-ZAWT
recognise	/ˈɹɛkənaɪz/	REH-kuhg-nyz	g	rehkuhnyz
relearn	/ɹiːˈləːn/	ree-LEHRN	r	ree-LUHN
rego	/ˈɹɛdʒəʊ/	REH-goh	g	rehjoh
reg	/ɹɛd͡ʒ/	rehg	g	rehj
remis	/ɹəˈmiː/	RAY-meez	s	ruh-MEE
regarded	/ɹɪˈɡɑː.dəd/	ri-GAHR-did	r	ri-GAH-duhd
rheumatism	/ˈɹu.məˌtɪz/	ROO-muh-ti-zuhm	m	ROO-muh-tiz
Rog	/ɹɒd͡ʒ/	rahg	g	rahj
rog	/ɹɒdʒ/	rahg	g	rahj
Rodriguez	/ɹɑˈdɾiɡɛz/	rah-DREE-gehz	r	rah-DTEEGEHZ
Rochefort	/ˈɹɒʃˌfɔːt/	RAH-ki-furt	k	RAHSH-fawt
sangfroid	/sɑŋˈfɹɑ/	sahn-FROW	n	sahng-FRAH
Sancho	/ˈsæn.t͡ʃoʊ/	SAHN-koh	k	SAN-choh
Savoie	/səˈvɔɪ/	SAHV-wah	w	suh-VOY
scarce	/ˈskɛɚs/	skehrs	r	skehurs
schizophrenic	/ˌskɪtsəˈfɹɛnɪk/	shi-zuh-FREH-nik	sh	skitsuh-FREHNIK
scare	/skɛɚ/	skehr	r	skehur
scarecrow	/ˈskɛɚˌkɹoʊ/	SKAR-kroh	r	SKEHUR-kroh
scheduler	/ˈʃɛdjələ/	SKEH-juu-lur	s,k,ch	shehdyuhluh
Schleswig	/ˈʃlɛsvɪɡ/	SHLEH-swig	w	shlehsvig
sear	/sɪɚ/	sir	r	siur
seaworthy	/ˈsiːwɝði/	SEE-wawr-thee	r	seewurthee
