type	derived	base	relation
graphic->graphy	chromatographic	chromatography	relating to
graphic->graphy	cryptographic	cryptography	relating to
graphic->graphy	demographic	demography	relating to
graphic->graphy	electrocardiographic	electrocardiography	relating to
graphic->graphy	ethnographic	ethnography	relating to
graphic->graphy	geographic	geography	relating to
graphic->graphy	holographic	holography	relating to
graphic->graphy	hydrographic	hydrography	relating to
graphic->graphy	ideographic	ideography	relating to
graphic->graphy	lexicographic	lexicography	relating to
graphic->graphy	lithographic	lithography	relating to
graphic->graphy	orthographic	orthography	relating to
graphic->graphy	photographic	photography	relating to
graphic->graphy	planographic	planography	relating to
graphic->graphy	polarographic	polarography	relating to
graphic->graphy	pornographic	pornography	relating to
graphic->graphy	pyrographic	pyrography	relating to
graphic->graphy	radiographic	radiography	relating to
graphic->graphy	roentgenographic	roentgenography	relating to
graphic->graphy	stenographic	stenography	relating to
graphic->graphy	telegraphic	telegraphy	relating to
graphic->graphy	topographic	topography	relating to
graphic->graphy	typographic	typography	relating to
graphic->graphy	xerographic	xerography	relating to
ician->ic	academician	academic	expert in
ician->ic	arithmetician	arithmetic	expert in
ician->ic	clinician	clinic	expert in
ician->ic	cosmetician	cosmetic	expert in
ician->ic	electrician	electric	expert in
ician->ic	geometrician	geometric	expert in
ician->ic	logician	logic	expert in
ician->ic	magician	magic	expert in
ician->ic	musician	music	expert in
ician->ic	photometrician	photometric	expert in
ician->ic	rhetorician	rhetoric	expert in
ician->ic	syntactician	syntactic	expert in
ician->ic	theoretician	theoretic	expert in
ician->ic	trigonometrician	trigonometric	expert in
ician->ics	acoustician	acoustics	expert in
ician->ics	aesthetician	aesthetics	expert in
ician->ics	diagnostician	diagnostics	expert in
ician->ics	dialectician	dialectics	expert in
ician->ics	econometrician	econometrics	expert in
ician->ics	esthetician	esthetics	expert in
ician->ics	ethician	ethics	expert in
ician->ics	geriatrician	geriatrics	expert in
ician->ics	logistician	logistics	expert in
ician->ics	mathematician	mathematics	expert in
ician->ics	obstetrician	obstetrics	expert in
ician->ics	optician	optics	expert in
ician->ics	paediatrician	paediatrics	expert in
ician->ics	pediatrician	pediatrics	expert in
ician->ics	phonetician	phonetics	expert in
ician->ics	physician	physics	expert in
ician->ics	politician	politics	expert in
ician->ics	semiotician	semiotics	expert in
ician->ics	statistician	statistics	expert in
ician->ics	tactician	tactics	expert in
ification->ify	acidification	acidify	act of
ification->ify	ammonification	ammonify	act of
ification->ify	amplification	amplify	act of
ification->ify	beatification	beatify	act of
ification->ify	beautification	beautify	act of
ification->ify	calcification	calcify	act of
ification->ify	certification	certify	act of
ification->ify	clarification	clarify	act of
ification->ify	classification	classify	act of
ification->ify	codification	codify	act of
ification->ify	decalcification	decalcify	act of
ification->ify	declassification	declassify	act of
ification->ify	deification	deify	act of
ification->ify	denazification	denazify	act of
ification->ify	detoxification	detoxify	act of
ification->ify	disqualification	disqualify	act of
ification->ify	diversification	diversify	act of
ification->ify	edification	edify	act of
ification->ify	electrification	electrify	act of
ification->ify	exemplification	exemplify	act of
ification->ify	falsification	falsify	act of
ification->ify	fortification	fortify	act of
ification->ify	fructification	fructify	act of
ification->ify	gasification	gasify	act of
ification->ify	gentrification	gentrify	act of
ification->ify	glorification	glorify	act of
ification->ify	gratification	gratify	act of
ification->ify	humification	humify	act of
ification->ify	identification	identify	act of
ification->ify	indemnification	indemnify	act of
ification->ify	intensification	intensify	act of
ification->ify	jollification	jollify	act of
ification->ify	justification	justify	act of
ification->ify	magnification	magnify	act of
ification->ify	metrification	metrify	act of
ification->ify	modification	modify	act of
ification->ify	mollification	mollify	act of
ification->ify	mortification	mortify	act of
ification->ify	mummification	mummify	act of
ification->ify	mystification	mystify	act of
ification->ify	nazification	nazify	act of
ification->ify	nitrification	nitrify	act of
ification->ify	notification	notify	act of
ification->ify	nullification	nullify	act of
ification->ify	objectification	objectify	act of
ification->ify	opacification	opacify	act of
ification->ify	ossification	ossify	act of
ification->ify	oversimplification	oversimplify	act of
ification->ify	pacification	pacify	act of
ification->ify	personification	personify	act of
ification->ify	petrification	petrify	act of
ification->ify	preachification	preachify	act of
ification->ify	purification	purify	act of
ification->ify	qualification	qualify	act of
ification->ify	quantification	quantify	act of
ification->ify	ramification	ramify	act of
ification->ify	ratification	ratify	act of
ification->ify	reclassification	reclassify	act of
ification->ify	rectification	rectify	act of
ification->ify	reification	reify	act of
ification->ify	reunification	reunify	act of
ification->ify	revivification	revivify	act of
ification->ify	rigidification	rigidify	act of
ification->ify	sanctification	sanctify	act of
ification->ify	saponification	saponify	act of
ification->ify	signification	signify	act of
ification->ify	simplification	simplify	act of
ification->ify	solidification	solidify	act of
ification->ify	specification	specify	act of
ification->ify	stratification	stratify	act of
ification->ify	stultification	stultify	act of
ification->ify	syllabification	syllabify	act of
ification->ify	transmogrification	transmogrify	act of
ification->ify	typification	typify	act of
ification->ify	unification	unify	act of
ification->ify	unsanctification	unsanctify	act of
ification->ify	verification	verify	act of
ification->ify	versification	versify	act of
ification->ify	vilification	vilify	act of
ification->ify	vinification	vinify	act of
ification->ify	vitrification	vitrify	act of
ification->ify	vivification	vivify	act of
isation->ise	acclimatisation	acclimatise	act of
isation->ise	actualisation	actualise	act of
isation->ise	alphabetisation	alphabetise	act of
isation->ise	americanisation	americanise	act of
isation->ise	amortisation	amortise	act of
isation->ise	anathematisation	anathematise	act of
isation->ise	anglicisation	anglicise	act of
isation->ise	animalisation	animalise	act of
isation->ise	atomisation	atomise	act of
isation->ise	authorisation	authorise	act of
isation->ise	barbarisation	barbarise	act of
isation->ise	bastardisation	bastardise	act of
isation->ise	bowdlerisation	bowdlerise	act of
isation->ise	brutalisation	brutalise	act of
isation->ise	canalisation	canalise	act of
isation->ise	cannulisation	cannulise	act of
isation->ise	canonisation	canonise	act of
isation->ise	capitalisation	capitalise	act of
isation->ise	carbonisation	carbonise	act of
isation->ise	categorisation	categorise	act of
isation->ise	catheterisation	catheterise	act of
isation->ise	cauterisation	cauterise	act of
isation->ise	centralisation	centralise	act of
isation->ise	channelisation	channelise	act of
isation->ise	characterisation	characterise	act of
isation->ise	christianisation	christianise	act of
isation->ise	circularisation	circularise	act of
isation->ise	civilisation	civilise	act of
isation->ise	collectivisation	collectivise	act of
isation->ise	colonisation	colonise	act of
isation->ise	commercialisation	commercialise	act of
isation->ise	communisation	communise	act of
isation->ise	compartmentalisation	compartmentalise	act of
isation->ise	conceptualisation	conceptualise	act of
isation->ise	conventionalisation	conventionalise	act of
isation->ise	criminalisation	criminalise	act of
isation->ise	crystallisation	crystallise	act of
isation->ise	decentralisation	decentralise	act of
isation->ise	decimalisation	decimalise	act of
isation->ise	decolonisation	decolonise	act of
isation->ise	decriminalisation	decriminalise	act of
isation->ise	dehumanisation	dehumanise	act of
isation->ise	demagnetisation	demagnetise	act of
isation->ise	demineralisation	demineralise	act of
isation->ise	demobilisation	demobilise	act of
isation->ise	democratisation	democratise	act of
isation->ise	demonetisation	demonetise	act of
isation->ise	demonisation	demonise	act of
isation->ise	demoralisation	demoralise	act of
isation->ise	demythologisation	demythologise	act of
isation->ise	denationalisation	denationalise	act of
isation->ise	depersonalisation	depersonalise	act of
isation->ise	depolarisation	depolarise	act of
isation->ise	desalinisation	desalinise	act of
isation->ise	desensitisation	desensitise	act of
isation->ise	destabilisation	destabilise	act of
isation->ise	destalinisation	destalinise	act of
isation->ise	desynchronisation	desynchronise	act of
isation->ise	detribalisation	detribalise	act of
isation->ise	devitalisation	devitalise	act of
isation->ise	diagonalisation	diagonalise	act of
isation->ise	dichotomisation	dichotomise	act of
isation->ise	digitalisation	digitalise	act of
isation->ise	digitisation	digitise	act of
isation->ise	disorganisation	disorganise	act of
isation->ise	dramatisation	dramatise	act of
isation->ise	equalisation	equalise	act of
isation->ise	europeanisation	europeanise	act of
isation->ise	extemporisation	extemporise	act of
isation->ise	exteriorisation	exteriorise	act of
isation->ise	externalisation	externalise	act of
isation->ise	factorisation	factorise	act of
isation->ise	familiarisation	familiarise	act of
isation->ise	federalisation	federalise	act of
isation->ise	feminisation	feminise	act of
isation->ise	fertilisation	fertilise	act of
isation->ise	fictionalisation	fictionalise	act of
isation->ise	finalisation	finalise	act of
isation->ise	fluoridisation	fluoridise	act of
isation->ise	focalisation	focalise	act of
isation->ise	formalisation	formalise	act of
isation->ise	fossilisation	fossilise	act of
isation->ise	fraternisation	fraternise	act of
isation->ise	galvanisation	galvanise	act of
isation->ise	generalisation	generalise	act of
isation->ise	glamorisation	glamorise	act of
isation->ise	glamourisation	glamourise	act of
isation->ise	globalisation	globalise	act of
isation->ise	harmonisation	harmonise	act of
isation->ise	homogenisation	homogenise	act of
isation->ise	hospitalisation	hospitalise	act of
isation->ise	humanisation	humanise	act of
isation->ise	hybridisation	hybridise	act of
isation->ise	hypostatisation	hypostatise	act of
isation->ise	idealisation	idealise	act of
isation->ise	idolisation	idolise	act of
isation->ise	immobilisation	immobilise	act of
isation->ise	immunisation	immunise	act of
isation->ise	improvisation	improvise	act of
isation->ise	individualisation	individualise	act of
isation->ise	industrialisation	industrialise	act of
isation->ise	initialisation	initialise	act of
isation->ise	internalisation	internalise	act of
isation->ise	internationalisation	internationalise	act of
isation->ise	ionisation	ionise	act of
isation->ise	isomerisation	isomerise	act of
isation->ise	itemisation	itemise	act of
isation->ise	keratinisation	keratinise	act of
isation->ise	legalisation	legalise	act of
isation->ise	lexicalisation	lexicalise	act of
isation->ise	liberalisation	liberalise	act of
isation->ise	localisation	localise	act of
isation->ise	lyophilisation	lyophilise	act of
isation->ise	magnetisation	magnetise	act of
isation->ise	marbleisation	marbleise	act of
isation->ise	marginalisation	marginalise	act of
isation->ise	masculinisation	masculinise	act of
isation->ise	materialisation	materialise	act of
isation->ise	maximisation	maximise	act of
isation->ise	mechanisation	mechanise	act of
isation->ise	memorialisation	memorialise	act of
isation->ise	memorisation	memorise	act of
isation->ise	militarisation	militarise	act of
isation->ise	miniaturisation	miniaturise	act of
isation->ise	minimisation	minimise	act of
isation->ise	mobilisation	mobilise	act of
isation->ise	modernisation	modernise	act of
isation->ise	monetisation	monetise	act of
isation->ise	monopolisation	monopolise	act of
isation->ise	moralisation	moralise	act of
isation->ise	motorisation	motorise	act of
isation->ise	mythologisation	mythologise	act of
isation->ise	nasalisation	nasalise	act of
isation->ise	nationalisation	nationalise	act of
isation->ise	naturalisation	naturalise	act of
isation->ise	neutralisation	neutralise	act of
isation->ise	normalisation	normalise	act of
isation->ise	novelisation	novelise	act of
isation->ise	optimisation	optimise	act of
isation->ise	organisation	organise	act of
isation->ise	overcapitalisation	overcapitalise	act of
isation->ise	oxidisation	oxidise	act of
isation->ise	particularisation	particularise	act of
isation->ise	pasteurisation	pasteurise	act of
isation->ise	pauperisation	pauperise	act of
isation->ise	penalisation	penalise	act of
isation->ise	peptisation	peptise	act of
isation->ise	plagiarisation	plagiarise	act of
isation->ise	pluralisation	pluralise	act of
isation->ise	polarisation	polarise	act of
isation->ise	polymerisation	polymerise	act of
isation->ise	popularisation	popularise	act of
isation->ise	privatisation	privatise	act of
isation->ise	professionalisation	professionalise	act of
isation->ise	pulverisation	pulverise	act of
isation->ise	quantisation	quantise	act of
isation->ise	randomisation	randomise	act of
isation->ise	rationalisation	rationalise	act of
isation->ise	realisation	realise	act of
isation->ise	regularisation	regularise	act of
isation->ise	reharmonisation	reharmonise	act of
isation->ise	remilitarisation	remilitarise	act of
isation->ise	reorganisation	reorganise	act of
isation->ise	revitalisation	revitalise	act of
isation->ise	romanticisation	romanticise	act of
isation->ise	ruggedisation	ruggedise	act of
isation->ise	sanitisation	sanitise	act of
isation->ise	scandalisation	scandalise	act of
isation->ise	schematisation	schematise	act of
isation->ise	sectionalisation	sectionalise	act of
isation->ise	secularisation	secularise	act of
isation->ise	sensitisation	sensitise	act of
isation->ise	sentimentalisation	sentimentalise	act of
isation->ise	serialisation	serialise	act of
isation->ise	signalisation	signalise	act of
isation->ise	socialisation	socialise	act of
isation->ise	solarisation	solarise	act of
isation->ise	solemnisation	solemnise	act of
isation->ise	specialisation	specialise	act of
isation->ise	spiritualisation	spiritualise	act of
isation->ise	stabilisation	stabilise	act of
isation->ise	stalinisation	stalinise	act of
isation->ise	standardisation	standardise	act of
isation->ise	sterilisation	sterilise	act of
isation->ise	stigmatisation	stigmatise	act of
isation->ise	stylisation	stylise	act of
isation->ise	subsidisation	subsidise	act of
isation->ise	summarisation	summarise	act of
isation->ise	symbolisation	symbolise	act of
isation->ise	synchronisation	synchronise	act of
isation->ise	systematisation	systematise	act of
isation->ise	tenderisation	tenderise	act of
isation->ise	territorialisation	territorialise	act of
isation->ise	terrorisation	terrorise	act of
isation->ise	theorisation	theorise	act of
isation->ise	unionisation	unionise	act of
isation->ise	unitisation	unitise	act of
isation->ise	urbanisation	urbanise	act of
isation->ise	utilisation	utilise	act of
isation->ise	vaporisation	vaporise	act of
isation->ise	vascularisation	vascularise	act of
isation->ise	verbalisation	verbalise	act of
isation->ise	victimisation	victimise	act of
isation->ise	virilisation	virilise	act of
isation->ise	visualisation	visualise	act of
isation->ise	vitalisation	vitalise	act of
isation->ise	vocalisation	vocalise	act of
isation->ise	vulcanisation	vulcanise	act of
isation->ise	vulgarisation	vulgarise	act of
isation->ise	westernisation	westernise	act of
ist->ism	abolitionist	abolitionism	adherent of
ist->ism	absolutist	absolutism	adherent of
ist->ism	abstractionist	abstractionism	adherent of
ist->ism	activist	activism	adherent of
ist->ism	adventist	adventism	adherent of
ist->ism	alarmist	alarmism	adherent of
ist->ism	alienist	alienism	adherent of
ist->ism	alpinist	alpinism	adherent of
ist->ism	altruist	altruism	adherent of
ist->ism	amoralist	amoralism	adherent of
ist->ism	anabaptist	anabaptism	adherent of
ist->ism	anarchist	anarchism	adherent of
ist->ism	animist	animism	adherent of
ist->ism	antagonist	antagonism	adherent of
ist->ism	antifeminist	antifeminism	adherent of
ist->ism	aphorist	aphorism	adherent of
ist->ism	archaist	archaism	adherent of
ist->ism	arianist	arianism	adherent of
ist->ism	atavist	atavism	adherent of
ist->ism	atheist	atheism	adherent of
ist->ism	baptist	baptism	adherent of
ist->ism	behaviorist	behaviorism	adherent of
ist->ism	behaviourist	behaviourism	adherent of
ist->ism	bilingualist	bilingualism	adherent of
ist->ism	bimetallist	bimetallism	adherent of
ist->ism	bolshevist	bolshevism	adherent of
ist->ism	buddhist	buddhism	adherent of
ist->ism	cabalist	cabalism	adherent of
ist->ism	calvinist	calvinism	adherent of
ist->ism	capitalist	capitalism	adherent of
ist->ism	careerist	careerism	adherent of
ist->ism	catechist	catechism	adherent of
ist->ism	centralist	centralism	adherent of
ist->ism	centrist	centrism	adherent of
ist->ism	chartist	chartism	adherent of
ist->ism	chauvinist	chauvinism	adherent of
ist->ism	christ	chrism	adherent of
ist->ism	classicist	classicism	adherent of
ist->ism	clericalist	clericalism	adherent of
ist->ism	collaborationist	collaborationism	adherent of
ist->ism	collectivist	collectivism	adherent of
ist->ism	colonialist	colonialism	adherent of
ist->ism	communist	communism	adherent of
ist->ism	conformist	conformism	adherent of
ist->ism	confucianist	confucianism	adherent of
ist->ism	congregationalist	congregationalism	adherent of
ist->ism	conservativist	conservativism	adherent of
ist->ism	constitutionalist	constitutionalism	adherent of
ist->ism	constructivist	constructivism	adherent of
ist->ism	corporatist	corporatism	adherent of
ist->ism	counterterrorist	counterterrorism	adherent of
ist->ism	cubist	cubism	adherent of
ist->ism	cultist	cultism	adherent of
ist->ism	deconstructionist	deconstructionism	adherent of
ist->ism	defeatist	defeatism	adherent of
ist->ism	determinist	determinism	adherent of
ist->ism	deviationist	deviationism	adherent of
ist->ism	diabolist	diabolism	adherent of
ist->ism	dogmatist	dogmatism	adherent of
ist->ism	donatist	donatism	adherent of
ist->ism	dualist	dualism	adherent of
ist->ism	eclecticist	eclecticism	adherent of
ist->ism	egoist	egoism	adherent of
ist->ism	egotist	egotism	adherent of
ist->ism	elitist	elitism	adherent of
ist->ism	empiricist	empiricism	adherent of
ist->ism	encyclopaedist	encyclopaedism	adherent of
ist->ism	encyclopedist	encyclopedism	adherent of
ist->ism	environmentalist	environmentalism	adherent of
ist->ism	escapist	escapism	adherent of
ist->ism	ethicist	ethicism	adherent of
ist->ism	evangelist	evangelism	adherent of
ist->ism	evolutionist	evolutionism	adherent of
ist->ism	exhibitionist	exhibitionism	adherent of
ist->ism	existentialist	existentialism	adherent of
ist->ism	exorcist	exorcism	adherent of
ist->ism	expansionist	expansionism	adherent of
ist->ism	expressionist	expressionism	adherent of
ist->ism	extremist	extremism	adherent of
ist->ism	fascist	fascism	adherent of
ist->ism	fatalist	fatalism	adherent of
ist->ism	fauvist	fauvism	adherent of
ist->ism	federalist	federalism	adherent of
ist->ism	feminist	feminism	adherent of
ist->ism	fetishist	fetishism	adherent of
ist->ism	funambulist	funambulism	adherent of
ist->ism	functionalist	functionalism	adherent of
ist->ism	fundamentalist	fundamentalism	adherent of
ist->ism	futurist	futurism	adherent of
ist->ism	geneticist	geneticism	adherent of
ist->ism	germanist	germanism	adherent of
ist->ism	girondist	girondism	adherent of
ist->ism	gongorist	gongorism	adherent of
ist->ism	hebraist	hebraism	adherent of
ist->ism	hedonist	hedonism	adherent of
ist->ism	hinayanist	hinayanism	adherent of
ist->ism	hobbyist	hobbyism	adherent of
ist->ism	humanist	humanism	adherent of
ist->ism	hypnotist	hypnotism	adherent of
ist->ism	idealist	idealism	adherent of
ist->ism	imperialist	imperialism	adherent of
ist->ism	impressionist	impressionism	adherent of
ist->ism	individualist	individualism	adherent of
ist->ism	industrialist	industrialism	adherent of
ist->ism	instrumentalist	instrumentalism	adherent of
ist->ism	insurrectionist	insurrectionism	adherent of
ist->ism	internationalist	internationalism	adherent of
ist->ism	intuitionist	intuitionism	adherent of
ist->ism	irredentist	irredentism	adherent of
ist->ism	irridentist	irridentism	adherent of
ist->ism	islamist	islamism	adherent of
ist->ism	isolationist	isolationism	adherent of
ist->ism	jainist	jainism	adherent of
ist->ism	jansenist	jansenism	adherent of
ist->ism	jingoist	jingoism	adherent of
ist->ism	journalist	journalism	adherent of
ist->ism	kabbalist	kabbalism	adherent of
ist->ism	lamaist	lamaism	adherent of
ist->ism	latinist	latinism	adherent of
ist->ism	leftist	leftism	adherent of
ist->ism	liberalist	liberalism	adherent of
ist->ism	lobbyist	lobbyism	adherent of
ist->ism	lyricist	lyricism	adherent of
ist->ism	mahayanist	mahayanism	adherent of
ist->ism	mahdist	mahdism	adherent of
ist->ism	maoist	maoism	adherent of
ist->ism	marxist	marxism	adherent of
ist->ism	masochist	masochism	adherent of
ist->ism	materialist	materialism	adherent of
ist->ism	mechanist	mechanism	adherent of
ist->ism	meliorist	meliorism	adherent of
ist->ism	mesmerist	mesmerism	adherent of
ist->ism	methodist	methodism	adherent of
ist->ism	militarist	militarism	adherent of
ist->ism	millenarist	millenarism	adherent of
ist->ism	minimalist	minimalism	adherent of
ist->ism	misogynist	misogynism	adherent of
ist->ism	mithraist	mithraism	adherent of
ist->ism	moderationist	moderationism	adherent of
ist->ism	modernist	modernism	adherent of
ist->ism	monarchist	monarchism	adherent of
ist->ism	monetarist	monetarism	adherent of
ist->ism	monotheist	monotheism	adherent of
ist->ism	moralist	moralism	adherent of
ist->ism	mutualist	mutualism	adherent of
ist->ism	narcissist	narcissism	adherent of
ist->ism	narcist	narcism	adherent of
ist->ism	nationalist	nationalism	adherent of
ist->ism	nativist	nativism	adherent of
ist->ism	naturalist	naturalism	adherent of
ist->ism	naturist	naturism	adherent of
ist->ism	negativist	negativism	adherent of
ist->ism	neoclassicist	neoclassicism	adherent of
ist->ism	neoplatonist	neoplatonism	adherent of
ist->ism	nepotist	nepotism	adherent of
ist->ism	neutralist	neutralism	adherent of
ist->ism	nihilist	nihilism	adherent of
ist->ism	noctambulist	noctambulism	adherent of
ist->ism	nominalist	nominalism	adherent of
ist->ism	nonconformist	nonconformism	adherent of
ist->ism	nudist	nudism	adherent of
ist->ism	obscurantist	obscurantism	adherent of
ist->ism	obstructionist	obstructionism	adherent of
ist->ism	occultist	occultism	adherent of
ist->ism	oculist	oculism	adherent of
ist->ism	onanist	onanism	adherent of
ist->ism	operationalist	operationalism	adherent of
ist->ism	opportunist	opportunism	adherent of
ist->ism	optimist	optimism	adherent of
ist->ism	organist	organism	adherent of
ist->ism	orientalist	orientalism	adherent of
ist->ism	orleanist	orleanism	adherent of
ist->ism	ornamentalist	ornamentalism	adherent of
ist->ism	pacificist	pacificism	adherent of
ist->ism	pacifist	pacifism	adherent of
ist->ism	pantheist	pantheism	adherent of
ist->ism	papist	papism	adherent of
ist->ism	pentecostalist	pentecostalism	adherent of
ist->ism	perfectionist	perfectionism	adherent of
ist->ism	pessimist	pessimism	adherent of
ist->ism	philhellenist	philhellenism	adherent of
ist->ism	photojournalist	photojournalism	adherent of
ist->ism	pianist	pianism	adherent of
ist->ism	plagiarist	plagiarism	adherent of
ist->ism	platonist	platonism	adherent of
ist->ism	pluralist	pluralism	adherent of
ist->ism	pointillist	pointillism	adherent of
ist->ism	polytheist	polytheism	adherent of
ist->ism	populist	populism	adherent of
ist->ism	positivist	positivism	adherent of
ist->ism	postmodernist	postmodernism	adherent of
ist->ism	pragmatist	pragmatism	adherent of
ist->ism	presentist	presentism	adherent of
ist->ism	protagonist	protagonism	adherent of
ist->ism	protectionist	protectionism	adherent of
ist->ism	pugilist	pugilism	adherent of
ist->ism	purist	purism	adherent of
ist->ism	quietist	quietism	adherent of
ist->ism	racialist	racialism	adherent of
ist->ism	racist	racism	adherent of
ist->ism	rationalist	rationalism	adherent of
ist->ism	reactionist	reactionism	adherent of
ist->ism	realist	realism	adherent of
ist->ism	recidivist	recidivism	adherent of
ist->ism	reductionist	reductionism	adherent of
ist->ism	reformist	reformism	adherent of
ist->ism	religionist	religionism	adherent of
ist->ism	revisionist	revisionism	adherent of
ist->ism	revivalist	revivalism	adherent of
ist->ism	revolutionist	revolutionism	adherent of
ist->ism	rightist	rightism	adherent of
ist->ism	ritualist	ritualism	adherent of
ist->ism	romanist	romanism	adherent of
ist->ism	romanticist	romanticism	adherent of
ist->ism	royalist	royalism	adherent of
ist->ism	ruralist	ruralism	adherent of
ist->ism	sadist	sadism	adherent of
ist->ism	sadomasochist	sadomasochism	adherent of
ist->ism	satanist	satanism	adherent of
ist->ism	schist	schism	adherent of
ist->ism	sciolist	sciolism	adherent of
ist->ism	secessionist	secessionism	adherent of
ist->ism	secularist	secularism	adherent of
ist->ism	segregationist	segregationism	adherent of
ist->ism	sensationalist	sensationalism	adherent of
ist->ism	sensualist	sensualism	adherent of
ist->ism	sentimentalist	sentimentalism	adherent of
ist->ism	separationist	separationism	adherent of
ist->ism	separatist	separatism	adherent of
ist->ism	sexist	sexism	adherent of
ist->ism	shaktist	shaktism	adherent of
ist->ism	shamanist	shamanism	adherent of
ist->ism	shintoist	shintoism	adherent of
ist->ism	shivaist	shivaism	adherent of
ist->ism	socialist	socialism	adherent of
ist->ism	somnambulist	somnambulism	adherent of
ist->ism	somniloquist	somniloquism	adherent of
ist->ism	sophist	sophism	adherent of
ist->ism	specialist	specialism	adherent of
ist->ism	spiritualist	spiritualism	adherent of
ist->ism	stalinist	stalinism	adherent of
ist->ism	stigmatist	stigmatism	adherent of
ist->ism	subjectivist	subjectivism	adherent of
ist->ism	suffragist	suffragism	adherent of
ist->ism	supernaturalist	supernaturalism	adherent of
ist->ism	supremacist	supremacism	adherent of
ist->ism	suprematist	suprematism	adherent of
ist->ism	surrealist	surrealism	adherent of
ist->ism	syllogist	syllogism	adherent of
ist->ism	symbolist	symbolism	adherent of
ist->ism	syndicalist	syndicalism	adherent of
ist->ism	synergist	synergism	adherent of
ist->ism	systematist	systematism	adherent of
ist->ism	tantrist	tantrism	adherent of
ist->ism	taoist	taoism	adherent of
ist->ism	teetotalist	teetotalism	adherent of
ist->ism	televangelist	televangelism	adherent of
ist->ism	terrorist	terrorism	adherent of
ist->ism	theist	theism	adherent of
ist->ism	theosophist	theosophism	adherent of
ist->ism	totemist	totemism	adherent of
ist->ism	tourist	tourism	adherent of
ist->ism	traditionalist	traditionalism	adherent of
ist->ism	transcendentalist	transcendentalism	adherent of
ist->ism	tritheist	tritheism	adherent of
ist->ism	trotskyist	trotskyism	adherent of
ist->ism	unilateralist	unilateralism	adherent of
ist->ism	unionist	unionism	adherent of
ist->ism	universalist	universalism	adherent of
ist->ism	vedist	vedism	adherent of
ist->ism	ventriloquist	ventriloquism	adherent of
ist->ism	vitalist	vitalism	adherent of
ist->ism	vocalist	vocalism	adherent of
ist->ism	zionist	zionism	adherent of
ist->y	accompanist	accompany	practitioner in
ist->y	agonist	agony	practitioner in
ist->y	agronomist	agronomy	practitioner in
ist->y	alchemist	alchemy	practitioner in
ist->y	allergist	allergy	practitioner in
ist->y	analogist	analogy	practitioner in
ist->y	anatomist	anatomy	practitioner in
ist->y	anomalist	anomaly	practitioner in
ist->y	apiarist	apiary	practitioner in
ist->y	artist	arty	practitioner in
ist->y	bigamist	bigamy	practitioner in
ist->y	botanist	botany	practitioner in
ist->y	calligraphist	calligraphy	practitioner in
ist->y	chiropodist	chiropody	practitioner in
ist->y	colonist	colony	practitioner in
ist->y	cosmographist	cosmography	practitioner in
ist->y	demographist	demography	practitioner in
ist->y	diarist	diary	practitioner in
ist->y	economist	economy	practitioner in
ist->y	electrotherapist	electrotherapy	practitioner in
ist->y	elegist	elegy	practitioner in
ist->y	eulogist	eulogy	practitioner in
ist->y	faddist	faddy	practitioner in
ist->y	fantasist	fantasy	practitioner in
ist->y	florist	flory	practitioner in
ist->y	genealogist	genealogy	practitioner in
ist->y	glossarist	glossary	practitioner in
ist->y	gymnosophist	gymnosophy	practitioner in
ist->y	hagiographist	hagiography	practitioner in
ist->y	harpist	harpy	practitioner in
ist->y	hornist	horny	practitioner in
ist->y	ironist	irony	practitioner in
ist->y	jurist	jury	practitioner in
ist->y	lapidarist	lapidary	practitioner in
ist->y	larcenist	larceny	practitioner in
ist->y	lepidopterist	lepidoptery	practitioner in
ist->y	liturgist	liturgy	practitioner in
ist->y	logomachist	logomachy	practitioner in
ist->y	mammalogist	mammalogy	practitioner in
ist->y	metallurgist	metallurgy	practitioner in
ist->y	microscopist	microscopy	practitioner in
ist->y	mineralogist	mineralogy	practitioner in
ist->y	misanthropist	misanthropy	practitioner in
ist->y	misogamist	misogamy	practitioner in
ist->y	monogamist	monogamy	practitioner in
ist->y	monogynist	monogyny	practitioner in
ist->y	monopolist	monopoly	practitioner in
ist->y	mycophagist	mycophagy	practitioner in
ist->y	optometrist	optometry	practitioner in
ist->y	orthoepist	orthoepy	practitioner in
ist->y	osteopathist	osteopathy	practitioner in
ist->y	paleographist	paleography	practitioner in
ist->y	palmist	palmy	practitioner in
ist->y	parodist	parody	practitioner in
ist->y	pharmacist	pharmacy	practitioner in
ist->y	philanthropist	philanthropy	practitioner in
ist->y	philatelist	philately	practitioner in
ist->y	phlebotomist	phlebotomy	practitioner in
ist->y	photometrist	photometry	practitioner in
ist->y	physiotherapist	physiotherapy	practitioner in
ist->y	podiatrist	podiatry	practitioner in
ist->y	polyandrist	polyandry	practitioner in
ist->y	polygamist	polygamy	practitioner in
ist->y	polygynist	polygyny	practitioner in
ist->y	psychiatrist	psychiatry	practitioner in
ist->y	psychotherapist	psychotherapy	practitioner in
ist->y	radiotherapist	radiotherapy	practitioner in
ist->y	sectarist	sectary	practitioner in
ist->y	seminarist	seminary	practitioner in
ist->y	shortlist	shortly	practitioner in
ist->y	sodomist	sodomy	practitioner in
ist->y	stockist	stocky	practitioner in
ist->y	strategist	strategy	practitioner in
ist->y	symphonist	symphony	practitioner in
ist->y	synonymist	synonymy	practitioner in
ist->y	taxidermist	taxidermy	practitioner in
ist->y	taxonomist	taxonomy	practitioner in
