word	rank	flags	current_breakdown
hydrocortisone	44598	stray,lowconf,unknown	hydro·c·or·ti·s·one
prelims	44714	stray	pre·lim·s
mandala	44723	stray,lowconf,unknown	man·d·al·a
manageability	44802	stray,linkers,unknown	man·a·ge·a·bi·l·ity
dominick	45056	stray,unknown	domin·ic·k
gerbera	45120	stray,lowconf,unknown	ge·rb·er·a
mote	45172	stray	mot·e
solvay	45206	stray,unknown	solv·a·y
vermeer	45234	stray,lowconf,unknown	ver·m·ee·r
albers	45303	stray	alb·er·s
differentially	45406	stray,unknown	dif·fer·ent·i·al·ly
epos	45435	stray	e·pos
neoplastic	45579	stray,lowconf,unknown	ne·op·la·s·t·ic
academe	45748	stray	ac·a·dem·e
quercus	45872	stray,lowconf,unknown	quer·cu·s
gnostic	45945	stray,unknown	gnos·t·ic
pons	45970	stray	pon·s
mobilisation	46059	stray,unknown	mob·ili·s·ation
segway	46075	stray,lowconf,unknown	seg·wa·y
evers	46165	stray	e·vers
electrification	46330	stray,unknown	e·lect·rif·ic·ation
demarcation	46466	stray,unknown	de·mar·c·ation
mobius	46525	stray,lowconf,unknown	mob·iu·s
symbiotic	46630	stray,unknown	sym·bio·t·ic
involuntarily	46696	stray,unknown	in·volu·nt·ar·i·ly
coleoptera	46709	stray,unknown	col·e·opt·er·a
preeminent	46827	stray	pre·e·min·ent
decentralisation	46844	stray,unknown	de·centr·al·i·s·ation
tangential	46882	stray,unknown	tang·ent·i·al
singaporean	46929	stray,lowconf,unknown	sing·ap·or·e·an
marbled	46943	stray,unknown	mar·ble·d
semantically	47001	stray,unknown	se·man·t·ical·ly
hydrated	47026	stray,unknown	hydr·ate·d
forties	47032	stray,unknown	fort·i·es
fica	47069	stray,unknown	fic·a
reelection	47149	stray	re·e·lect·ion
colostrum	47174	stray,unknown	col·o·stru·m
anubis	47490	stray	an·u·bi·s
vertu	47518	stray,unknown	vert·u
phonetics	47771	stray,unknown	phon·et·ic·s
geodesic	47829	stray,unknown	geo·d·es·ic
albedo	47866	stray,unknown	alb·ed·o
emoticon	48112	stray,unknown	e·mot·ic·on
beneficially	48126	stray,unknown	bene·fic·i·al·ly
athenaeum	48134	stray,unknown	a·the·n·ae·um
motorised	48143	stray,unknown	mot·or·ise·d
mutilated	48147	stray,lowconf,unknown	mut·il·ate·d
preferentially	48595	stray,unknown	pre·fer·ent·i·al·ly
torr	48860	stray,unknown	tor·r
novgorod	48912	stray,lowconf,unknown	nov·g·or·od
hydroxyl	49400	stray,unknown	hydro·x·y·l
adenoma	49412	stray,unknown	ad·e·nom·a
judgmental	49465	stray,unknown	jud·g·ment·al
antipsychotic	49467	stray,unknown	anti·psycho·t·ic
contractually	49828	stray,unknown	con·tract·u·al·ly
angelus	50197	stray,lowconf,unknown	an·ge·lu·s
panicked	50393	stray,unknown	pan·ic·k·ed
abidjan	50783	stray,lowconf,unknown	a·bi·dj·an
matrimony	50878	stray,lowconf,unknown	matri·mon·y
currier	50906	stray,unknown	curr·i·er
seeger	50998	stray,unknown	se·e·ge·r
gramophone	51082	stray	gram·o·phon·e
internationalisation	51092	stray,unknown	inter·nat·ion·al·i·s·ation
senatorial	51103	stray,unknown	se·nat·or·i·al
invisibility	51151	stray,unknown	in·vis·i·bi·l·ity
tink	51197	stray,unknown	tin·k
vena	51209	stray,unknown	ven·a
luminescent	51230	stray,unknown	lumin·es·c·ent
defensible	51277	stray	de·fen·s·ible
sulawesi	51299	stray,lowconf,unknown	su·law·es·i
marianas	51313	stray,unknown	mari·an·a·s
patriarchy	51426	stray	patri·arch·y
luminescence	51447	stray,unknown	lumin·es·c·ence
constructivist	51523	stray,unknown	con·struct·i·vis·t
minimisation	51723	stray,unknown	min·imi·s·ation
erecting	51891	stray	e·rect·ing
rescission	52078	stray	re·sci·s·sion
confidentially	52252	stray,unknown	con·fid·ent·i·al·ly
synovial	52380	stray,unknown	sy·nov·i·al
pedophile	52389	stray	pedo·phil·e
imago	52411	stray,lowconf,unknown	i·mag·o
gens	52456	stray	gen·s
skilful	52505	stray,unknown	ski·l·ful
interfacial	52555	stray,unknown	inter·fac·i·al
decentralised	52570	stray,unknown	de·centr·al·ise·d
zoster	52635	stray,unknown	zo·s·t·er
archetypal	52975	stray,unknown	arch·ety·p·al
apathetic	53111	stray,unknown	ap·a·the·t·ic
insufficiently	53248	stray,unknown	in·suf·fic·i·ent·ly
haji	53392	stray,unknown	haj·i
insecta	53664	stray,unknown	in·sect·a
pathos	53734	stray	patho·s
capitalisation	53768	stray,unknown	cap·it·al·i·s·ation
bioremediation	53786	stray,unknown	bi·or·em·ed·i·ation
magus	54221	stray,unknown	mag·u·s
cedi	54233	stray,unknown	ced·i
doctorow	54423	stray,unknown	doc·toro·w
geodesy	54611	stray,unknown	geo·d·es·y
attenuator	54623	stray,unknown	at·ten·u·ator
cytogenetic	55118	stray,unknown	cyto·gene·t·ic
belligerent	55146	stray,unknown	belli·ge·r·ent
ebit	55152	stray,unknown	e·bi·t
differentiable	55257	stray,unknown	dif·fer·ent·i·able
minos	55281	stray,unknown	min·o·s
factually	55403	stray,unknown	fact·u·al·ly
aminotransferase	55406	stray,lowconf,unknown	a·min·otr·an·s·f·er·a·s·e
recognisable	55411	stray	re·cogni·s·able
endocarditis	55456	stray,unknown	endo·cardi·ti·s
ficus	55469	stray,unknown	fic·u·s
derma	55521	stray,unknown	derm·a
marl	55571	stray,unknown	mar·l
magdalen	55631	stray,unknown	mag·d·al·en
mired	55671	stray,unknown	mire·d
alcott	55861	stray,unknown	al·cot·t
demetrius	56009	stray,unknown	de·metr·iu·s
sachsen	56017	stray,unknown	sac·h·s·en
esker	56180	stray	e·sk·er
sango	56249	stray,unknown	sang·o
oscillatory	56258	stray,lowconf,unknown	o·sci·ll·ator·y
incipient	56302	stray,unknown	in·cip·i·ent
loge	56503	stray	log·e
auvergne	56545	stray,lowconf,unknown	a·u·ver·gne
cherbourg	56560	stray,lowconf,unknown	cher·bo·ur·g
muttering	56768	stray,unknown	mut·t·er·ing
thebes	56829	stray,unknown	the·b·es
fentanyl	56926	stray,unknown	fen·t·an·y·l
astragalus	57027	stray,lowconf,unknown	astr·ag·al·u·s
tanga	57042	stray,unknown	tang·a
individualistic	57055	stray,unknown	in·di·vid·u·al·ist·ic
tennessean	57425	stray,unknown	ten·ness·e·an
inconsequential	57683	stray,unknown	in·con·sequ·ent·i·al
inevitability	57887	stray,unknown	in·e·vit·a·bi·l·ity
biogeography	58125	stray	bio·geo·graph·y
agronomic	58179	stray	a·gro·nom·ic
dictum	58262	stray,unknown	dic·t·um
marini	58449	stray,unknown	marin·i
nevermore	58562	stray	ne·ver·mor·e
amaretto	58573	stray,lowconf,unknown	a·mare·tto
dominos	58616	stray,unknown	domin·o·s
provera	58649	stray,unknown	pro·ver·a
azo	58810	stray	a·zo
growling	58867	stray,unknown	grow·l·ing
congenial	58984	stray,unknown	con·gen·i·al
aventail	59057	stray,lowconf,unknown	a·vent·ail
sequined	59423	stray,unknown	sequ·ine·d
logotype	59652	stray,lowconf,unknown	log·o·ty·pe
ungrateful	59716	stray,unknown	un·grat·e·ful
hydrodynamics	60066	stray	hydro·dynam·ic·s
disingenuous	60163	stray,unknown	dis·in·gen·u·ous
panchayat	60270	stray,lowconf,unknown	pan·cha·y·at
bivariate	60299	stray,unknown	bi·v·ar·i·ate
magnetosphere	60507	stray,lowconf,unknown	magn·eto·s·ph·er·e
expediency	60530	stray,unknown	ex·ped·i·ency
collegial	60714	stray,unknown	col·leg·i·al
photojournalist	60815	stray,unknown	photo·jo·ur·n·al·ist
synchronizer	60893	stray,unknown	syn·chron·ize·r
patras	61029	stray,unknown	patr·a·s
sacral	61066	stray,unknown	sac·r·al
tarn	61127	stray,unknown	tar·n
alimentation	61397	stray	a·lim·ent·ation
dictatorial	61447	stray,unknown	dic·t·ator·i·al
amaranth	61454	stray,unknown	a·mar·ant·h
scid	61529	stray,unknown	sci·d
libertine	61556	stray	liber·tin·e
tare	61714	stray	tar·e
tarsus	61760	stray	tar·su·s
allogeneic	61784	stray,unknown	al·log·en·e·ic
marksman	61822	stray,unknown	mar·k·s·m·an
tinned	61879	stray,unknown	tin·n·ed
probiotic	61952	stray,unknown	pro·bio·t·ic
ascites	62134	stray,unknown	a·sci·t·es
cytherea	62203	stray,lowconf,unknown	cyt·h·er·ea
marinara	62283	stray,unknown	marin·ar·a
skank	62362	stray,unknown	sk·an·k
repellant	62395	stray,unknown	re·pel·l·ant
marrakesh	62481	stray,lowconf,unknown	mar·rak·es·h
anatolian	62557	stray,unknown	a·nat·ol·ian
subservient	62619	stray,unknown	sub·serv·i·ent
transferability	62661	stray,unknown	trans·fer·a·bi·l·ity
demeaning	62853	stray,unknown	dem·e·an·ing
capsid	62881	stray,lowconf,unknown	cap·s·id
adige	63095	stray	a·di·ge
groping	63174	stray,unknown	gro·p·ing
unconsolidated	63405	stray,unknown	un·con·sol·id·ate·d
microelectronic	63480	stray,unknown	micro·e·lect·ron·ic
provencal	63537	stray,unknown	pro·ven·c·al
generalisation	63594	stray,unknown	gener·al·i·s·ation
elucidation	63649	stray,unknown	e·luc·id·ation
marsala	63701	stray,unknown	mar·s·al·a
demosthenes	63714	stray,unknown	demo·s·th·en·es
misalignment	63909	stray,unknown	mis·a·lig·n·ment
progestin	63947	stray,lowconf,unknown	pro·ge·s·tin
minoan	63980	stray,unknown	min·o·an
effervescent	64145	stray,unknown	ef·fer·v·es·c·ent
respectability	64247	stray,unknown	re·spect·a·bi·l·ity
atherosclerotic	64272	stray,lowconf,unknown	a·the·ro·s·cl·er·ot·ic
grok	64306	stray,unknown	gro·k
biomedicine	64579	stray,unknown	bio·m·ed·ic·ine
ducking	64758	stray,unknown	duc·k·ing
reexamination	64782	stray	re·ex·a·min·ation
marihuana	64865	stray,lowconf,unknown	mari·hu·an·a
deadlocked	64889	stray,unknown	de·ad·loc·k·ed
monocyte	64898	stray	mono·cyt·e
negev	64998	stray,unknown	ne·ge·v
dominus	65117	stray,unknown	domin·u·s
diogenes	65192	stray	di·o·gene·s
endometrium	65490	stray,unknown	endo·metr·i·um
marciano	65728	stray,unknown	mar·c·ian·o
avena	65945	stray,unknown	a·ven·a
sacking	65999	stray,unknown	sac·k·ing
digestible	66054	stray,unknown	di·ge·s·t·ible
geostationary	66168	stray,unknown	geo·s·t·ation·ary
torrential	66214	stray,unknown	tor·r·ent·i·al
malamute	66388	stray	mal·a·mut·e
interlocutory	66577	stray	inter·loc·u·tor·y
eclampsia	66598	stray,lowconf,unknown	e·clam·p·s·ia
signore	66621	stray	sign·or·e
polyphone	66631	stray	poly·phon·e
officiate	66766	stray,unknown	of·fic·i·ate
congeniality	66779	stray,unknown	con·gen·i·al·ity
democratisation	66930	stray,unknown	demo·crat·i·s·ation
corporeal	66949	stray,unknown	corpor·e·al
emanate	66975	stray	e·man·ate
synchronised	67005	stray,unknown	syn·chron·ise·d
vitals	67099	stray	vit·al·s
electrocardiography	67148	stray,lowconf,unknown	e·lect·roc·ar·dio·graphy
marmite	67172	stray	mar·mit·e
constructivism	67206	stray,unknown	con·struct·i·vis·m
neonate	67217	stray	neo·nat·e
soleus	67403	stray,lowconf,unknown	sol·eu·s
themis	67800	stray,lowconf,unknown	the·mi·s
anachronism	67928	stray	an·a·chron·ism
manus	68007	stray	manu·s
geb	68100	stray,lowconf,unknown	ge·b
natriuretic	68239	stray,lowconf,unknown	nat·ri·ure·t·ic
inconspicuous	68438	stray,unknown	in·con·spic·u·ous
reconvene	68447	stray	re·con·ven·e
suharto	68463	stray,lowconf,unknown	su·h·ar·to
propelling	68818	stray,unknown	pro·pel·l·ing
aether	68871	stray,unknown	a·e·the·r
phobos	69022	stray,unknown	phob·o·s
enamored	69038	stray	en·a·mor·ed
synchrony	69384	stray	syn·chron·y
cytosine	69402	stray	cyto·s·ine
gramps	69413	stray,unknown	gram·p·s
judicially	69481	stray,unknown	judic·i·al·ly
cisc	69561	stray,unknown	cis·c
rediscovery	69565	stray	re·dis·co·ver·y
dermis	69805	stray,unknown	derm·i·s
gnosis	70065	stray,unknown	gnos·i·s
abies	70118	stray	a·bi·es
recto	70171	stray,unknown	rect·o
conjoint	70203	stray,unknown	con·join·t
genovese	70239	stray	ge·nov·es·e
limping	70276	stray,unknown	lim·p·ing
reminiscence	70412	stray,unknown	re·min·i·s·c·ence
nonesuch	70529	stray,unknown	non·e·su·ch
legibility	70549	stray,unknown	leg·i·bi·l·ity
minkowski	70644	stray,lowconf,unknown	min·kow·s·ki
unofficially	70863	stray,unknown	un·of·fic·i·al·ly
dithering	70874	stray,unknown	di·the·r·ing
bihari	70904	stray,lowconf,unknown	bi·h·ar·i
teleworking	70993	stray,unknown	tele·w·or·k·ing
formalised	71142	stray,unknown	form·al·ise·d
housemate	71229	stray,unknown	house·m·ate
theseus	71338	stray,lowconf,unknown	the·s·eu·s
realign	71396	stray,unknown	re·a·lig·n
visualizer	71466	stray,unknown	vis·u·al·ize·r
flugelhorn	71585	stray,lowconf,unknown	flu·ge·lh·or·n
ineligibility	71630	stray,unknown	in·e·lig·i·bi·l·ity
domine	71739	stray	domin·e
creditworthiness	71812	stray,unknown	credit·w·or·th·ine·s·s
verner	71853	stray,unknown	ver·n·er
endangerment	71909	stray,unknown	end·an·ge·r·ment
conceptualize	71946	stray,unknown	con·cept·u·al·ize
bitters	71967	stray,lowconf,unknown	bi·tt·er·s
grozny	72289	stray,lowconf,unknown	gro·zn·y
transmittance	72577	stray,unknown	trans·mit·t·ance
tortuous	72605	stray,unknown	tort·u·ous
pacha	72667	stray,unknown	pach·a
thetis	72814	stray,lowconf,unknown	the·ti·s
analogously	72841	stray	an·a·log·ous·ly
gnosticism	72891	stray,unknown	gnos·t·ic·ism
indefensible	72924	stray	in·de·fen·s·ible
megabit	73009	stray,unknown	mega·bi·t
extrajudicial	73104	stray,unknown	extra·judic·i·al
capsaicin	73117	stray,lowconf,unknown	cap·s·a·ic·in
bellarmine	73161	stray,unknown	bell·ar·m·ine
religiosity	73168	stray,unknown	re·lig·i·osity
oporto	73427	stray,lowconf,unknown	o·port·o
perigee	73542	stray	peri·ge·e
emancipated	73607	stray,unknown	e·man·cip·ate·d
cytogenetics	73699	stray,unknown	cyto·gene·t·ic·s
evidential	73976	stray,unknown	e·vid·ent·i·al
demolishing	73998	stray,unknown	demo·l·ish·ing
specialism	74358	stray,unknown	spec·i·al·ism
tempura	74370	stray,unknown	temp·ur·a
albacore	74473	stray,unknown	alb·ac·or·e
evocation	74475	stray	e·voc·ation
preeclampsia	74578	stray,unknown	pre·e·clam·p·s·ia
manufactory	74733	stray	manu·fac·tor·y
surficial	74758	stray,unknown	sur·fic·i·al
intelligibility	74775	stray,unknown	intel·lig·i·bi·l·ity
reintroduce	74789	stray	re·intro·duc·e
pangaea	74851	stray,lowconf,unknown	pan·g·ae·a
biodefense	74981	stray,lowconf,unknown	bio·def·en·s·e
fice	75025	stray	fic·e
vender	75097	stray,unknown	ven·d·er
attenuate	75185	stray,unknown	at·ten·u·ate
vincristine	75443	stray,unknown	vinc·r·ist·ine
geneticist	75738	stray,unknown	gene·t·ic·ist
circumferential	75851	stray,unknown	circum·fer·ent·i·al
pangea	75924	stray,unknown	pan·ge·a
victimisation	76193	stray,unknown	vict·imi·s·ation
estrus	76257	stray	e·stru·s
edification	76442	stray	e·di·fic·ation
aventurine	76489	stray	a·vent·ur·ine
uncompensated	76500	stray,unknown	un·com·pens·ate·d
counterfactual	76583	stray,unknown	counter·fact·u·al
martes	76597	stray,unknown	mar·t·es
transaminase	76735	stray,unknown	trans·a·min·a·s·e
atheistic	76894	stray	a·the·ist·ic
torte	76907	stray	tort·e
dicker	77035	stray,unknown	dic·k·er
homoeopathy	77037	stray	homo·e·o·path·y
alimentary	77255	stray	a·limen·tar·y
resurgent	77365	stray,unknown	re·sur·gen·t
individualist	77654	stray,unknown	in·di·vid·u·al·ist
passeriformes	77848	stray,unknown	pass·er·if·or·m·es
impelled	78069	stray,unknown	im·pel·l·ed
antipathy	78151	stray	anti·path·y
individualised	78170	stray,unknown	in·di·vid·u·al·ise·d
expelling	78292	stray,unknown	ex·pel·l·ing
ponderous	78730	stray,unknown	pon·d·er·ous
eusebius	78814	stray,unknown	eu·se·bi·u·s
bismark	79028	stray,lowconf,unknown	bi·s·m·ar·k
noma	79070	stray,unknown	nom·a
marmara	79103	stray,unknown	mar·mar·a
patrimony	79107	stray,lowconf,unknown	patri·mon·y
amanita	79151	stray,lowconf,unknown	a·man·ita
anachronistic	79384	stray	an·a·chron·ist·ic
fingerless	79409	stray,unknown	fin·ge·r·less
azonic	79533	stray,unknown	a·zo·n·ic
contemptible	79650	stray,unknown	con·temp·t·ible
peloponnesian	79987	stray,unknown	pel·o·pon·n·es·ian
officiant	80116	stray,unknown	of·fic·ian·t
repelling	80213	stray,unknown	re·pel·l·ing
persuasively	80488	stray,unknown	per·su·a·s·ive·ly
peleus	80560	stray,lowconf,unknown	pel·eu·s
macrobiotic	80612	stray,unknown	macro·bio·t·ic
genotypic	80975	stray,unknown	gen·o·ty·p·ic
tanganyika	81119	stray,lowconf,unknown	tang·an·y·ika
visualiser	81181	stray,unknown	vis·u·al·ise·r
temperamental	81203	stray,unknown	temp·er·a·ment·al
chronicler	81232	stray,unknown	chron·ic·l·er
diagramming	81244	stray,unknown	dia·gram·min·g
spica	81336	stray,unknown	spic·a
sequoyah	81899	stray,lowconf,unknown	sequ·o·y·ah
tartarus	82317	stray,unknown	tar·tar·u·s
legalese	82375	stray	leg·al·es·e
telemann	82413	stray,unknown	tele·man·n
mitford	82427	stray,lowconf,unknown	mit·f·or·d
peloponnese	82780	stray,unknown	pel·o·pon·n·es·e
advisability	82816	stray,unknown	ad·vis·a·bi·l·ity
biddy	82893	stray,lowconf,unknown	bi·dd·y
athene	83001	stray,lowconf,unknown	a·the·ne
devolve	83251	stray	de·volv·e
vitis	83473	stray,unknown	vit·i·s
abounding	83581	stray	a·bound·ing
magisterial	83749	stray,unknown	mag·ist·er·i·al
terrarium	83789	stray,unknown	terr·ar·i·um
minocycline	83857	stray,lowconf,unknown	min·o·cy·cl·ine
skanky	83920	stray,unknown	sk·an·k·y
colima	83949	stray,unknown	co·lim·a
atheneum	84037	stray,unknown	a·the·ne·um
capsular	84123	stray,unknown	cap·su·l·ar
oligocene	84390	stray,lowconf,unknown	o·lig·oc·en·e
vinca	84413	stray,unknown	vinc·a
hyperfine	84422	stray	hyper·fin·e
jointer	84606	stray,unknown	join·t·er
differentiator	84632	stray,unknown	dif·fer·ent·i·ator
otherness	84671	stray,unknown	o·the·r·ness
atarax	84724	stray,lowconf,unknown	a·tar·ax
skilfully	84725	stray,unknown	ski·l·ful·ly
flustered	84743	stray,unknown	flu·s·t·er·ed
evolutionarily	84793	stray,unknown	e·volut·ion·ar·i·ly
electromyography	85611	stray,unknown	e·lect·rom·y·o·graphy
susa	85678	stray,unknown	su·s·a
administrate	85833	stray,unknown	ad·min·ist·r·ate
chert	85991	stray,unknown	cher·t
vitiligo	86103	stray,unknown	vit·i·lig·o
provincially	86238	stray,unknown	pro·vinc·i·al·ly
averting	86575	stray	a·ver·ting
sacrilege	86654	stray,lowconf,unknown	sac·r·ile·ge
pericarditis	86921	stray,unknown	peri·cardi·ti·s
bellis	87007	stray	belli·s
electioneering	87166	stray,unknown	e·lect·ion·ee·r·ing
ferber	87234	stray,unknown	fer·b·er
ventilatory	87393	stray,unknown	vent·il·ator·y
metatarsal	87409	stray	meta·tar·s·al
educative	87517	stray	e·duc·ative
invincibility	87777	stray,unknown	in·vinc·i·bi·l·ity
finalisation	87874	stray,unknown	fin·al·i·s·ation
presuppose	87936	stray	pre·sup·pos·e
minyan	87992	stray	min·y·an
evolutionist	88112	stray	e·volut·ion·ist
materialise	88665	stray,unknown	mater·i·al·ise
cometary	88667	stray	com·e·tar·y
fragonard	88855	stray,lowconf,unknown	frag·on·ar·d
bifurcated	88902	stray,lowconf,unknown	bi·f·ur·c·ate·d
thermoset	89330	stray,unknown	thermo·s·et
midazolam	89445	stray,lowconf,unknown	mid·a·zo·lam
asmara	89538	stray,unknown	as·mar·a
sulcus	89621	stray,lowconf,unknown	su·lcu·s
mors	89887	stray	mor·s
vitus	90474	stray,unknown	vit·u·s
capriccio	90545	stray,lowconf,unknown	cap·r·ic·cio
manana	90954	stray,unknown	man·an·a
evacuee	91279	stray	e·vacu·ee
pone	91657	stray	pon·e
sacredness	91730	stray,unknown	sac·r·ed·ness
solzhenitsyn	91765	stray,lowconf,unknown	sol·zh·en·it·s·y·n
unrecognised	92194	stray	un·re·cogni·s·ed
centralisation	92272	stray,unknown	centr·al·i·s·ation
hydrogel	92337	stray,unknown	hydro·ge·l
gemara	92452	stray,unknown	ge·mar·a
thessaly	92462	stray	the·s·s·al·y
psycholinguistics	92594	stray	psycho·lingu·ist·ic·s
consecrate	92641	stray	con·se·crat·e
adjudicatory	92741	stray	ad·judic·ator·y
novena	92774	stray,unknown	nov·en·a
paternalistic	92863	stray,unknown	pater·n·al·ist·ic
analogical	93240	stray	an·a·log·ical
mitomycin	93418	stray,lowconf,unknown	mit·om·y·cin
marginalisation	93586	stray,lowconf,unknown	mar·gin·al·i·s·ation
juda	93669	stray,unknown	jud·a
standardise	93812	stray,unknown	stand·ar·d·ise
zoroastrianism	94096	stray,lowconf,unknown	zo·roa·s·tr·ian·ism
zoroastrian	94134	stray,lowconf,unknown	zo·roa·s·tr·ian
untangling	94274	stray,unknown	un·tang·l·ing
separability	94422	stray,unknown	se·para·bi·l·ity
paraquat	94567	stray,unknown	par·aqua·t
inoffensive	94738	stray	in·of·fen·s·ive
acheron	94768	stray,lowconf,unknown	a·cher·on
tardive	95030	stray,unknown	tar·d·ive
apeldoorn	95238	stray,lowconf,unknown	a·pel·do·or·n
agronomist	95737	stray	a·gro·nom·ist
inflexibility	95823	stray,unknown	in·flex·i·bi·l·ity
rectus	95920	stray,unknown	rect·u·s
clamour	95936	stray,unknown	clam·o·ur
microsurgery	96056	stray,unknown	micro·sur·ge·r·y
patronising	96250	stray,lowconf,unknown	patr·oni·s·ing
fluoroscopy	96516	stray,lowconf,unknown	flu·or·o·s·cop·y
flutist	96695	stray,unknown	flu·t·ist
aperiodic	96743	stray	a·peri·o·dic
psychophysics	96933	stray	psycho·phys·ic·s
paternalism	97055	stray,unknown	pater·n·al·ism
marquand	97229	stray,lowconf,unknown	mar·qu·an·d
demitasse	97245	stray,unknown	de·mit·a·s·s·e
inspiratory	97318	stray	in·spir·ator·y
subgenus	97385	stray,unknown	sub·gen·u·s
eruptive	97483	stray	e·rupt·ive
hydroxyzine	98282	stray,unknown	hydro·x·y·z·ine
exponentiation	98714	stray,unknown	ex·pon·ent·i·ation
sentience	98839	stray,unknown	sent·i·ence
providential	98948	stray,unknown	pro·vid·ent·i·al
passiflora	99027	stray,lowconf,unknown	pass·ifl·or·a
grama	99037	stray,unknown	gram·a
legalisation	99094	stray,unknown	leg·al·i·s·ation
scriptorium	99178	stray,unknown	script·or·i·um
singhalese	99382	stray,unknown	sing·h·al·es·e
orthostatic	99402	stray,lowconf,unknown	ortho·s·tat·ic
minimus	99613	stray,lowconf,unknown	min·imu·s
cistercian	99742	stray,unknown	cis·t·er·c·ian
sacrum	99846	stray,unknown	sac·r·um
transpire	99973	stray	tran·spir·e
insurability	100484	stray,unknown	in·sur·a·bi·l·ity
psychometrics	100538	stray	psycho·metr·ic·s
multifactorial	100716	stray,unknown	multi·fac·tor·i·al
mantissa	100778	stray,lowconf,unknown	man·ti·s·s·a
mindoro	100874	stray,lowconf,unknown	min·d·or·o
marineland	101032	stray,unknown	mar·ine·l·an·d
examinee	101727	stray	ex·a·min·ee
supercede	101779	stray	super·ced·e
regale	101848	stray	reg·al·e
overpay	101876	stray,lowconf,unknown	o·ver·pa·y
crataegus	102095	stray,unknown	crat·ae·gu·s
cognizable	102166	stray,unknown	cogni·z·able
theodosius	102365	stray,lowconf,unknown	theo·do·s·iu·s
fenestration	102367	stray,unknown	fen·est·r·ation
revitalising	102507	stray,unknown	re·vit·al·i·s·ing
phototherapy	102695	stray,unknown	photo·the·rap·y
preeminence	102756	stray	pre·e·min·ence
amphibia	102855	stray,unknown	amphi·bi·a
grosz	103000	stray,unknown	gro·s·z
gestural	103038	stray	ge·s·tur·al
ministration	103500	stray,unknown	min·ist·r·ation
marcuse	103550	stray,lowconf,unknown	mar·cu·s·e
pontus	104487	stray,lowconf,unknown	pon·tu·s
gendarmerie	104616	stray,lowconf,unknown	gen·d·ar·m·er·ie
misanthrope	104891	stray	mis·anthrop·e
conspiratorial	105531	stray,unknown	con·spir·ator·i·al
individuation	105710	stray,unknown	in·di·vid·u·ation
inaccessibility	106057	stray,unknown	in·ac·cess·i·bi·l·ity
birdfeeder	106584	stray,lowconf,unknown	bi·rdf·ee·d·er
collectivist	106793	stray,unknown	col·lect·i·vis·t
gesso	107008	stray,unknown	ge·s·s·o
ascomycota	107113	stray,unknown	as·com·y·cot·a
opv	107205	stray,lowconf,unknown	op·v
photius	107684	stray,lowconf,unknown	phot·iu·s
missourian	107974	stray,unknown	miss·o·ur·ian
cardiorespiratory	107994	stray,unknown	cardi·or·es·pir·ator·y
nationalisation	108082	stray,unknown	nat·ion·al·i·s·ation
manticore	108087	stray,unknown	man·t·ic·or·e
tinbergen	108358	stray,unknown	tin·b·er·g·en
mincing	108619	stray,unknown	min·c·ing
demote	108825	stray	de·mot·e
judaea	108829	stray,unknown	jud·ae·a
sectorial	108904	stray,unknown	sect·or·i·al
coreopsis	108924	stray	cor·e·op·sis
panicky	109141	stray,unknown	pan·ic·k·y
synthesise	109353	stray	syn·the·s·ise
diapason	109362	stray,unknown	dia·paso·n
terrasse	109706	stray,unknown	terr·a·s·s·e
intractability	109707	stray,unknown	in·tract·a·bi·l·ity
homoptera	110400	stray,unknown	hom·opt·er·a
manis	110425	stray,unknown	man·i·s
orthophosphate	110684	stray,lowconf,unknown	orth·op·ho·s·ph·ate
judicature	110938	stray,unknown	judic·a·ture
exasperating	111299	stray	ex·as·per·a·ting
inefficiently	111492	stray,unknown	in·ef·fic·i·ent·ly
dissolute	111536	stray	dis·solut·e
locater	111620	stray,unknown	loc·ate·r
sophistry	111862	stray,unknown	soph·ist·r·y
prejudgment	112005	stray,unknown	pre·jud·g·ment
aphelion	112335	stray,unknown	ap·helio·n
revitalisation	112611	stray,unknown	re·vit·al·i·s·ation
helianthus	112628	stray,unknown	heli·ant·hu·s
territoriality	113158	stray,unknown	terr·itor·i·al·ity
untainted	113257	stray,unknown	un·tain·t·ed
forevermore	113288	stray	fore·ver·mor·e
aspinwall	113328	stray,unknown	a·spin·w·al·l
marmora	113463	stray,unknown	mar·mor·a
tangentially	113492	stray,unknown	tang·ent·i·al·ly
bioluminescence	113709	stray,unknown	bio·lumin·es·c·ence
naturalisation	113922	stray,unknown	nat·ur·al·i·s·ation
mithras	114206	stray,lowconf,unknown	mit·hra·s
bogeyman	114321	stray,unknown	bog·e·y·m·an
ferrying	114556	stray,unknown	fer·r·y·ing
gehenna	114669	stray,lowconf,unknown	ge·h·en·na
orthoptera	115024	stray,unknown	orth·opt·er·a
albinism	115146	stray,unknown	al·bi·n·ism
tarsal	115175	stray	tar·s·al
perceptually	115514	stray,unknown	per·cept·u·al·ly
solidus	115749	stray,lowconf,unknown	sol·idu·s
amaranthus	115820	stray,unknown	a·mar·ant·hu·s
individualization	115837	stray,unknown	in·di·vid·u·al·iz·ation
vivarium	115996	stray,unknown	viv·ar·i·um
archaeopteryx	116023	stray,lowconf,unknown	arch·ae·opt·ery·x
hydromorphone	116162	stray	hydro·mor·phon·e
incorporeal	116355	stray,unknown	in·corpor·e·al
superimpose	116472	stray	super·im·pos·e
